term,estimate,p_value,model
Intercept,3.0475397849831602,0.5118483236062158,reply_nb
C(channel_name)[T.9News],0.003918446972214704,0.9954650464678291,reply_nb
C(channel_name)[T.ABC News Australia],-0.6088990171375448,0.38768928863379526,reply_nb
C(channel_name)[T.Guardian Australia],-0.24248504046632957,0.7106605054071655,reply_nb
C(channel_name)[T.SBS News],0.0796772591691123,0.893727891274791,reply_nb
C(channel_name)[T.Sky News Australia],-0.03913305526702771,0.9485385955405639,reply_nb
stance_extremity,0.6318597430310653,0.38323319133920597,reply_nb
frame_count,0.18381088829809009,0.7135855974362094,reply_nb
comment_age_days,0.0005831663161593668,0.3580468477976244,reply_nb
log_video_view_count,-0.35864433100663107,0.4532200090456162,reply_nb
Intercept,4.46728885910879,0.012319058189770657,like_ols
C(channel_name)[T.9News],-0.03113414570255335,0.9145416577126821,like_ols
C(channel_name)[T.ABC News Australia],-0.0021790790032002044,0.9921352796672764,like_ols
C(channel_name)[T.Guardian Australia],-0.06541761312390515,0.7729259637609286,like_ols
C(channel_name)[T.SBS News],-0.02529364580547771,0.8959235628527661,like_ols
C(channel_name)[T.Sky News Australia],0.013960675922909178,0.9546771927114471,like_ols
stance_extremity,0.2594557868572004,0.2700048447120804,like_ols
frame_count,0.24652890272329442,0.11505243328279109,like_ols
comment_age_days,-0.00017920428055560671,0.3834011941435437,like_ols
log_video_view_count,-0.20512981194635663,0.26858734175817534,like_ols
