relative_day,volume,support_ratio,avg_stance_score,post,time_after,event
55,1,1.0,1.0,1,55,Mobility Pathway opening
56,1,0.0,-1.0,1,56,Mobility Pathway opening
59,1,0.0,-1.0,1,59,Mobility Pathway opening
60,3,0.0,-0.6666666666666666,1,60,Mobility Pathway opening
65,1,0.0,-1.0,1,65,Mobility Pathway opening
67,1,1.0,1.0,1,67,Mobility Pathway opening
70,1,0.0,0.0,1,70,Mobility Pathway opening
73,1,1.0,1.0,1,73,Mobility Pathway opening
83,1,0.0,0.0,1,83,Mobility Pathway opening
89,1,0.0,0.0,1,89,Mobility Pathway opening
